#2mm flux distribution of SPT sources
#fluxes in mJy
#S_min S_max N
0.69999999999999996    1.4766666666666666      1 
1.4766666666666666     2.2533333333333334      2 
2.2533333333333334     3.0300000000000002      4 
3.0300000000000002     3.8066666666666666      1 
3.8066666666666666     4.5833333333333339      9 
4.5833333333333339     5.3600000000000003      12 
5.3600000000000003     6.1366666666666676      11 
6.913333333333334      7.6900000000000004      15 
7.6900000000000004     8.4666666666666668      4 
8.4666666666666668     9.2433333333333341      8 
9.2433333333333341     10.02                   1 
10.796666666666667     11.573333333333334      5 
11.573333333333334     12.35                   2 
12.35                  13.126666666666667      2 
13.903333333333334     14.68                   1 
14.68                  15.456666666666667      1 
19.34                  20.116666666666667      1 
23.223333333333333     24.0                    1 
