#Number counts from Shark (Lagos et al. 2018), from SED and dust modelling presented in Lagos et al. (2019)
#Columns:
#1) log10(S/mJy)
#2) N(>S) all galaxies
#3) N(>S) contribution from disks
#4) N(>S) conribution from bulges
#JCMT 450microns
-2.0 306661.724873 266316.852347 104541.37007
-1.75 265330.179018 224611.885665 90524.0005209
-1.5 220926.764887 179690.457656 77689.6245909
-1.25 174107.623508 133582.150552 65401.7659086
-1.0 131458.071198 93482.5671633 53336.7436577
-0.75 96576.3246021 62478.8803826 41480.3209836
-0.5 68074.5870194 39141.7100296 30276.3614821
-0.25 44309.3025909 21805.4331214 20621.9946004
0.0 25297.5258819 10111.9631098 13084.4700055
0.25 12497.0514614 3802.81210755 7551.85042967
0.5 5509.95924921 1236.05556199 3827.57830216
0.75 2197.39915453 381.60701782 1659.36469913
1.0 797.73840753 122.881849435 625.769070571
1.25 267.652862491 41.4944985178 210.319863467
1.5 85.9846684797 13.287730762 67.1208364159
1.75 30.0160346676 4.74561812927 23.4908097399
2.0 9.78783739162 1.89824725171 7.26672776044
2.25 3.44057314372 0.533882039543 2.75839053764
2.5 1.09742419239 0.0889803399238 0.889803399238
2.75 0.237280906463 0.0296601133079 0.14830056654
#Herschel 500microns
-2.0 293855.34809 254599.001722 102116.151585
-1.75 254414.130236 214717.301526 88628.3633592
-1.5 211988.838042 171375.689792 76079.1100984
-1.25 166901.105778 126306.495098 63967.2841886
-1.0 125263.971775 86781.9916456 52005.2418511
-0.75 90927.0814608 56260.6079675 40254.6464613
-0.5 62750.1517789 33591.4426864 29124.7186026
-0.25 39250.8592466 17256.9361052 19550.1374257
0.0 21263.4538709 7101.90651079 12113.9317778
0.25 10060.5028133 2378.20720526 6724.33326838
0.5 4275.92057492 711.783399164 3223.52043453
0.75 1613.80676508 214.798540576 1293.95210317
1.0 553.961936252 68.7521426478 450.92270262
1.25 172.681179679 20.9400399954 139.817774134
1.5 52.6763612349 7.1184271939 42.85886373
1.75 18.0630090045 2.63975008441 14.0885538213
2.0 5.90236254828 0.949123625854 4.44901699619
2.25 1.8685871384 0.177960679848 1.60164611863
2.5 0.504221926235 0.0593202266159 0.355921359695
2.75 0.118640453232 0.0593202266159 0.0593202266159
#JCMT 850microns
-2.0 225831.746805 189628.019299 84138.8899684
-1.75 189347.909189 151671.349437 72656.422003
-1.5 150673.316284 110822.818527 61436.5943408
-1.25 112421.113053 71740.0728023 50342.4069187
-1.0 78445.7795195 40507.5582475 39375.0758012
-0.75 50246.6344128 19079.4610876 28703.2187324
-0.5 28699.4815581 6960.8430119 18916.3304644
-0.25 14547.5737348 1956.97427606 10952.4714008
0.0 6543.08031596 482.39208284 5431.41926918
0.25 2530.18562585 119.648897084 2222.5212705
0.5 794.831716426 28.799970022 715.846834687
0.75 208.747877461 7.0887670806 190.328947097
1.0 50.7187937566 2.22450849809 45.2909930212
1.25 12.6648683825 0.652522492775 11.0335621506
1.5 3.3812529171 0.118640453232 3.08465178402
1.75 1.09742419239 0.0889803399238 0.949123625854
2.0 0.177960679848 0.0593202266159 0.0593202266159
2.25 0.0296601133079 0.0 0.0296601133079
2.5 0.0 0.0 0.0
2.75 0.0 0.0 0.0
#ALMA band 9
-2.0 306792.110731 266430.895483 104521.112213
-1.75 265343.555729 224612.360227 90499.2639864
-1.5 220841.314101 179600.05363 77666.6676632
-1.25 173999.868316 133473.594537 65375.694669
-1.0 131378.849035 93413.904001 53311.6512018
-0.75 96540.1392638 62455.9234549 41452.7667384
-0.5 68064.6212213 39149.6292799 30249.8156807
-0.25 44315.7684956 21840.6396759 20598.1182092
0.0 25316.923596 10159.7455524 13067.6527212
0.25 12521.0464931 3839.17540647 7539.48216242
0.5 5524.81896598 1253.46604851 3823.36656607
0.75 2204.16166037 388.933065807 1659.00877777
1.0 802.869607132 125.729220312 627.430036916
1.25 269.521449629 42.1766811239 211.328307319
1.5 86.6965111991 13.8216128015 67.5657381155
1.75 30.3126358007 4.98289903573 23.6094501931
2.0 10.0547784114 1.95756747832 7.41502832698
2.25 3.52955348364 0.533882039543 2.81771076425
2.5 1.15674441901 0.0889803399238 0.978783739162
2.75 0.237280906463 0.0296601133079 0.14830056654
#ALMA band-8
-2.0 257698.780164 220649.413168 93228.9138743
-1.75 221167.664327 183261.95054 81005.2100171
-1.5 181542.049549 141961.043581 69230.174694
-1.25 140306.2762 99637.396596 57655.7900374
-1.0 102458.043711 63338.1931853 46196.901862
-0.75 70664.1818522 36134.7974026 34952.2190249
-0.5 44428.8625077 17376.8519433 24400.4260948
-0.25 24411.8748985 6429.54140221 15427.9155579
0.0 11827.8599849 1878.167355 8674.33741781
0.25 5120.96686318 489.807111167 4185.21994843
0.5 1919.27627204 133.678130679 1655.68684508
0.75 602.100300151 36.7785405018 530.115205153
1.0 164.672949086 9.90647784485 145.987077702
1.25 44.9647317748 3.44057314372 38.6767877535
1.5 12.6945284958 1.15674441901 10.7073009042
1.75 3.91513495665 0.296601133079 3.32193269049
2.0 1.09742419239 0.0889803399238 0.978783739162
2.25 0.237280906463 0.0593202266159 0.118640453232
2.5 0.0296601133079 0.0 0.0296601133079
2.75 0.0 0.0 0.0
#ALMA band-7
-2.0 212049.522634 175824.291546 80071.9248918
-1.75 175206.382406 137170.37174 68814.0729644
-1.5 136912.150793 96732.0105368 57776.9516002
-1.25 100057.561761 59655.1189552 46857.6402061
-1.0 67947.2561529 31426.8772773 36057.7107681
-0.75 41930.1759222 13365.8851605 25643.3628031
-0.5 23136.8162876 4324.85976188 16312.8250385
