#magnitude and number counts in selected bands for number-counts-selected plot.
5.25 0.0 0.0 0.0 0.0 0.0 -1.75827611559 -1.75827611559 0.0 0.0
5.75 0.0 0.0 0.0 0.0 0.0 -1.75827611559 -1.28115486087 0.0 0.0
6.25 0.0 0.0 0.0 0.0 0.0 -1.45724611992 0.0 0.0 0.0
6.75 0.0 0.0 0.0 0.0 0.0 -1.45724611992 -1.45724611992 0.0 0.0
7.25 0.0 0.0 0.0 0.0 0.0 -0.855186128594 -0.58218485653 -1.75827611559 0.0
7.75 0.0 0.0 0.0 0.0 0.0 -0.527827194207 -0.716883430427 0.0 0.0
8.25 0.0 0.0 0.0 0.0 0.0 -0.58218485653 -0.360336106914 -1.28115486087 0.0
8.75 0.0 0.0 0.0 0.0 0.0 -0.201973614818 -0.0507059394876 0.0 0.0
9.25 0.0 0.0 0.0 0.0 0.0 0.219447489703 0.331628995854 -0.758276115586 -1.75827611559
9.75 0.0 0.0 -1.75827611559 0.0 -1.28115486087 0.538389074676 0.607211869305 -0.360336106914 0.0
10.25 0.0 -1.75827611559 0.0 0.0 -1.75827611559 0.756271637075 0.875192339994 -0.266914421751 -1.45724611992
10.75 0.0 0.0 0.0 -1.75827611559 -1.45724611992 1.03130459658 1.140449066 0.116785147806 -1.45724611992
11.25 0.0 0.0 -1.75827611559 0.0 -0.679094869538 1.31580857344 1.42041312419 0.620121785363 -0.55415613293
11.75 0.0 -1.75827611559 -1.75827611559 -1.75827611559 -0.855186128594 1.57234055171 1.70382226555 0.906365859971 -0.124807660006
12.25 -1.75827611559 0.0 -1.05930611125 -1.75827611559 -0.479522514633 1.82207854552 1.96959033388 1.34312723497 0.237359079012
12.75 0.0 -1.45724611992 -0.612148079907 -0.716883430427 -0.0340002459848 2.09365456305 2.23626098871 1.7540079477 0.563943179148
13.25 0.0 -0.855186128594 -0.281154860866 -0.479522514633 0.176222335658 2.34298966941 2.51193673931 2.18660119038 1.12765022422
13.75 0.0 -0.415853434763 0.00515187797735 -0.239762175708 0.499402459284 2.58942459969 2.75527440476 2.57992131782 1.63371695667
14.25 -1.75827611559 -0.201973614818 0.414910152827 0.144813871406 0.752268894621 2.81628756023 3.00100635785 2.9437233593 2.11788396924
14.75 -1.75827611559 0.20551171176 0.663327811284 0.492143886723 0.999878506382 3.03937913875 3.23293666517 3.26937922573 2.58020029933
15.25 -0.980124865202 0.566006339712 0.930143706417 0.778282326986 1.23954696516 3.24798449744 3.44672784183 3.54478379835 2.98525716626
15.75 -0.913178075571 0.775749990471 1.18719246955 1.08120193179 1.46703316614 3.43305471068 3.6382388088 3.794671808 3.31406938248
16.25 -0.415853434763 1.04106443387 1.44038097137 1.36097977369 1.6654611344 3.59860982558 3.80204307265 4.00713387133 3.58315247326
16.75 -0.095518283904 1.31872821121 1.66969659802 1.67915732821 1.87670468447 3.74125151321 3.93599643556 4.15752352973 3.81135876054
17.25 0.335145569577 1.55135405184 1.91996903634 1.95747660124 2.07703388528 3.86209420775 4.04629058318 4.25251723136 4.00869931377
17.75 0.595832323562 1.78752564157 2.16878612791 2.26842054039 2.27228312971 3.96833129964 4.12858219424 4.31806353053 4.17061213584
18.25 0.838320980041 2.03257178838 2.40768007162 2.57193466899 2.46852993392 4.05731756986 4.19816510449 4.3830287643 4.28531366529
18.75 1.11909523028 2.26096483481 2.63301193301 2.86886434105 2.67677152575 4.13401888447 4.2591566744 4.45579670537 4.36958188669
19.25 1.39155858113 2.48530756041 2.85251176239 3.14342190072 2.89110742812 4.20424522023 4.32720747917 4.52073661328 4.43266484843
19.75 1.65819796351 2.6930957776 3.06561525323 3.39451046402 3.09761236645 4.27407263806 4.39894727368 4.55010792694 4.47540797143
20.25 1.92710729422 2.88548243337 3.26486106576 3.6071163889 3.31255569137 4.34756264617 4.47088795006 4.53606641824 4.48711216827
20.75 2.18526786157 3.05139804918 3.45035600902 3.77542605363 3.52507261148 4.4244862327 4.54021802856 4.50807531318 4.4728326873
21.25 2.43693143392 3.21665447154 3.62196950641 3.90493371354 3.73462249952 4.50013845631 4.60519822191 4.49161387056 4.4480285642
21.75 2.6756216684 3.367104291 3.77606607228 4.00742595975 3.92303478428 4.57445029719 4.65534195854 4.48590572219 4.42690695341
22.25 2.90950360266 3.52123797735 3.91093380563 4.1019013221 4.05549629395 4.64288429048 4.67512901382 4.47989699383 4.41683078605
22.75 3.12825972875 3.67753640946 4.02472006954 4.20323325232 4.13918217277 4.6919956309 4.65830598271 4.46530210769 4.41951136576
23.25 3.33200663251 3.83603354625 4.12972074523 4.30761641748 4.22100768683 4.69451034692 4.60198018192 4.44257930521 4.42394931216
23.75 3.5161680888 3.99158227985 4.23939679116 4.42498945633 4.31965909097 4.6356171029 4.50946498683 4.40787118552 4.42540532959
24.25 3.68324306766 4.13952191115 4.3582007891 4.54733166989 4.43037174297 4.55204985555 4.42176857277 4.36082464082 4.41911780847
24.75 3.83979398098 4.28225106689 4.48325118989 4.67244377228 4.5502379297 4.46739105308 4.35195153176 4.30503284411 4.40588037091
25.25 3.9870126461 4.42297190932 4.60963620322 4.79418536608 4.66740268265 4.39080313789 4.30086795084 4.24954801986 4.38443082013
25.75 4.12774057518 4.56094386599 4.73501738819 4.89692957201 4.76391685871 4.33066931067 4.26043353478 4.19842140897 4.35075981491
26.25 4.26141372962 4.69491145767 4.85623712828 4.94374578505 4.81144321924 4.28692986181 4.21818803988 4.14934374248 4.30260635508
26.75 4.39115023853 4.81405948742 4.9632485293 4.907102783 4.81795105892 4.25030319251 4.16845105664 4.09024983399 4.24717338735
27.25 4.51186400113 4.90375186609 5.03035636307 4.84060714745 4.81152660902 4.20933831009 4.11222845006 4.01769457822 4.19608026059
27.75 4.61849604763 4.95452640388 5.0152566244 4.74744119633 4.79496858733 4.16041303063 4.05612199172 3.95758438849 4.14882822809
28.25 4.70272270017 4.95739745666 4.86024714274 4.61832219072 4.75818574593 4.1066328864 4.00539516449 3.91345012301 4.10255999559
28.75 4.74910946546 4.89710562892 4.51698316658 4.39127490528 4.6927458724 4.05730694518 3.96133853068 3.87879312545 4.04002294738
29.25 4.7504054789 4.76212303923 3.91721993457 4.0369578862 4.58783205908 4.01014071286 3.92354831326 3.85341002627 3.97162456835
29.75 4.70721901324 4.53071538275 3.23087991999 3.41504420963 4.43319278451 3.97170302254 3.89389187124 3.83945635665 3.9217682595
